time_div,plate_number,class,cell_line,pair_number,well_number,Mean firing rate,ISI CV,Network ISI CV,Spike count Fano factor,# of active electrodes,Weighted mean firing rate,# of bursting electrodes,Mean burst duration,Mean # of spikes per burst,Mean ISI within bursts,Median ISI within bursts,Median / mean ISI within bursts,Mean IBI,Mean burst rate,Normalized burst duration IQR,IBI CV,Burst %,Mean NB rate,Mean NB duration,Mean # of spikes per NB,Mean ISI within NBs,Median ISI within NBs,Median / mean ISI within NBs,ISI CV within NBs,# of NB electrodes,Weighted mean # of spikes per NB,NB %,INBI CV,Normalized NB duration IQR,Normalized cross-correlation AUC,FWHH of normalized cross-correlation,Synchrony index,Kreuz SPIKE-distance synchrony,NB peak firing rate,Time to NB peak,Spike count Fano factor within NBs,ISI CV within bursts,Spike count Fano factor within bursts,Mean INBI,Mean ISI,Spike time tiling coefficient
13,21,Class 1,isoQ2-01,1,12,0.0116666666666667,1.00541111091143,1.1476838378152,1.00210560414642,2,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52985582093195e-07,2,0,0.0353094546029714,0,0,0,0,0,0,48.2610113414634,0
13,21,Class 1,isoQ2-01,1,13,0.016875,1.12413382165921,1.11964603158376,1.04308390022676,3,0.0822222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000249537606612669,8,0.000414158762475154,0.0889022363761658,0,0,0,0,0,0,29.4434372968387,0
13,21,Class 1,isoQ2-01,1,14,0.00125,0,1.47109079798768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.15076,0
13,21,Class 1,isoQ2-01,1,15,0.00583333333333333,0.783648325132186,0.962980832124454,1.35034013605442,2,0.035,1,3.49736000000001,4,1.16578666666667,0.0546400000000062,0.0468696388132815,0,0.00333333333333333,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,8.85141660684841e-06,1,0,0.182536607559948,0,0,0,1.67535505797801,0,0,24.9394971428571,0
13,21,Class 1,isoQ2-01,1,16,0.011875,1.02537823094469,1.02565271105838,1.93242630385488,5,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01094534180465e-05,3,0,0.216845049802163,0,0,0,0,0,0,21.7386641736695,0
13,21,Class 1,isoQ2-01,1,17,0.000416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,Class 1,isoQ2-01,1,18,0.000416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.65768,0
13,25,Class 1,isoQ2-01,1,19,0.000416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13272000000001,0
13,25,Class 1,isoQ2-01,1,20,0.00604166666666667,0.932456969553407,0.932456969553407,0.639690358902181,1,0.0966666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3599657142857,0
13,25,Class 1,isoQ2-01,1,21,0.000625,0,0.0430273312896391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,Class 1,isoQ2-01,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17,Class 1,isoQ2-01,1,1,0.0112068965517241,0.826253296380395,0.983221195590267,1.15335728101686,3,0.0344827586206896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12197010138406e-05,7,5.26126947376448e-05,0.417803426291694,0,0,0,0,0,0,55.3570637720798,0
14,17,Class 1,isoQ2-01,1,2,0.0185344827586207,1.35366861866168,1.16809657665803,1.42489536365577,5,0.0531034482758621,1,43.656,23,1.98436363636364,1.91672,0.965911673080447,0,0.00344827586206897,0,0,9.82905982905983,0,0,0,0,0,0,0,0,0,0,0,0,-5.62396407112059e-05,8,0,0.219173229332338,0,0,0,0.400336639094078,0,0,43.8078581727273,0
14,17,Class 1,isoQ2-01,1,3,0.0131465517241379,1.10550671816032,1.04635001863102,1.24262784621127,3,0.0632183908045977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431716374389686,3,0.00752080802342041,0.0879027066186046,0,0,0,0,0,0,14.0230300584795,0
